Timestamp	Scenario	ECT	domContentLoaded	domComplete
1532862061849	 /without-lazy-loading/	 4g	313,900000008289	938,900000008289
1532862063258	 /without-lazy-loading/	 4g	413,199999980861	1002,59999997797
1532862064262	 /without-lazy-loading/	 4g	321,100000001024	879,500000010012
1532862065326	 /without-lazy-loading/	 4g	403,699999995297	924,399999988964
1532862066444	 /without-lazy-loading/	 4g	486,999999993714	1023,79999999539
1532862067640	 /without-lazy-loading/	 4g	378,299999982119	999,699999985751
1532862068943	 /without-lazy-loading/	 4g	309,200000017881	862,099999998463
1532862069750	 /without-lazy-loading/	 4g	168,099999980768	539,79999999865
1532862070838	 /without-lazy-loading/	 4g	400,499999988824	979,800000000978
1532862071865	 /without-lazy-loading/	 4g	315,300000016578	909,400000004098
1532862073037	 /without-lazy-loading/	 4g	288,999999989755	1067,7999999898
1532862073665	 /without-lazy-loading/	 4g	218,699999997625	514,80000000447
1532862074847	 /without-lazy-loading/	 4g	460,599999991246	1014,39999998547
1532862075878	 /without-lazy-loading/	 4g	443,199999979697	965,799999976298
1532862076585	 /without-lazy-loading/	 4g	139,799999975367	498,799999972107
1532862077909	 /without-lazy-loading/	 4g	310,499999992317	852,000000013504
1532862079061	 /without-lazy-loading/	 4g	390,400000003865	1107,19999999856
1532862080120	 /without-lazy-loading/	 4g	222,799999988638	843,599999992875
1532862081408	 /without-lazy-loading/	 4g	474,700000020675	1109,20000000624
1532862082701	 /without-lazy-loading/	 4g	459,399999992456	1209,19999998296
1532862083792	 /without-lazy-loading/	 4g	330,600000015693	911,200000002282
1532862084905	 /without-lazy-loading/	 4g	382,400000002235	985,499999980675
1532862085947	 /without-lazy-loading/	 4g	413,799999980256	965,799999976298
1532862087221	 /without-lazy-loading/	 4g	410,999999992782	922,900000005029
1532862088222	 /without-lazy-loading/	 4g	317,399999999907	916,700000001583
1532862089283	 /without-lazy-loading/	 4g	379,899999999907	923,600000009174
1532862090241	 /without-lazy-loading/	 4g	403,200000000652	903,699999995297
1532862091390	 /without-lazy-loading/	 4g	486,399999994319	1081,00000000559
1532862092394	 /without-lazy-loading/	 4g	329,999999987194	911,899999977322
1532862093528	 /without-lazy-loading/	 4g	448,600000003353	1030,30000001309
1532862094701	 /without-lazy-loading/	 4g	409,299999999348	1087,10000000428
1532862095519	 /without-lazy-loading/	 4g	218,699999997625	656,300000002375
1532862096587	 /without-lazy-loading/	 4g	309,699999983422	959,299999987707
1532862097663	 /without-lazy-loading/	 4g	394,499999994878	978,600000002189
1532862098578	 /without-lazy-loading/	 4g	176,999999996042	737,299999978859
1532862099661	 /without-lazy-loading/	 4g	441,900000005262	970,700000005309
1532862100939	 /without-lazy-loading/	 4g	583,500000007916	1093,90000000712
1532862102199	 /without-lazy-loading/	 4g	290,500000002794	837,39999998943
1532862102963	 /without-lazy-loading/	 4g	186,999999976251	540,799999987939
1532862103643	 /without-lazy-loading/	 4g	96,6999999945983	428,099999990081
1532862104964	 /without-lazy-loading/	 4g	352,600000012899	892,699999996694
1532862105513	 /without-lazy-loading/	 4g	167,099999991478	309,599999978673
